Morningstar Category,Medalist_1,Medalist_2,Name_1,Name_2,3-year Rank_1,3-year Rank_2,Expense Ratio - Net_1,3 Year Sharpe Ratio_1,Standard Deviation_1,3 Yr_1,Beta_1,Manager Tenure_1,Inception Date_1,Assets (Millions)_1,Turnover Rates_1,Load (Y/N)_1,NTF_1,Expense Ratio - Net_2,3 Year Sharpe Ratio_2,Standard Deviation_2,3 Yr_2,Beta_2,Manager Tenure_2,Inception Date_2,Assets (Millions)_2,Turnover Rates_2,Load (Y/N)_2,NTF_2,interestingness
Communications,Neutral,Bronze,Rydex Telecommunications Fund Class H (RYMAX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),82.0,45.0,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,13.560241687493274
Communications,Neutral,Bronze,Rydex Telecommunications Fund Class Investor (RYMIX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),80.0,45.0,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,12.98838624318227
Communications,Neutral,Neutral,Gabelli Media Mogul Fund (MOGLX),Rydex Telecommunications Fund Class A (RYTLX),100.0,81.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0165,0.8,15.57,17.54,0.83,28 years,04/01/1998,12.1,159.0,Y,N,12.747640578840814
Communications,Neutral,Neutral,Gabelli Media Mogul Fund (MOGLX),Rydex Telecommunications Fund Class H (RYMAX),100.0,82.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,12.728615403422028
Communications,Neutral,Silver,Fidelity Select Telecommunications Portfolio (FSTCX),Fidelity Select Communication Services Portfolio (FBMPX),94.0,4.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,12.708182583997523
Communications,Neutral,Neutral,Gabelli Media Mogul Fund (MOGLX),Rydex Telecommunications Fund Class Investor (RYMIX),100.0,80.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,12.29951874625044
Communications,Neutral,Bronze,Fidelity Select Telecommunications Portfolio (FSTCX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),94.0,45.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,11.87158301472312
Communications,Neutral,Neutral,Fidelity Select Telecommunications Portfolio (FSTCX),Rydex Telecommunications Fund Class C (RYCSX),94.0,88.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0237999999999999,0.75,15.56,16.65,0.83,28 years,04/01/1998,12.1,159.0,Y,N,11.184221095631703
Communications,Neutral,Neutral,Fidelity Select Telecommunications Portfolio (FSTCX),Rydex Telecommunications Fund Class A (RYTLX),94.0,81.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0165,0.8,15.57,17.54,0.83,28 years,04/01/1998,12.1,159.0,Y,N,10.076479026939882
Communications,Neutral,Neutral,Fidelity Select Telecommunications Portfolio (FSTCX),Rydex Telecommunications Fund Class H (RYMAX),94.0,82.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,10.057453851521096
Communications,Neutral,Neutral,Rydex Telecommunications Fund Class C (RYCSX),Fidelity Select Wireless Portfolio (FWRLX),88.0,92.0,0.0237999999999999,0.75,15.56,16.65,0.83,28 years,04/01/1998,12.1,159.0,Y,N,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,10.047512881939102
Communications,Neutral,Neutral,Fidelity Select Telecommunications Portfolio (FSTCX),Rydex Telecommunications Fund Class Investor (RYMIX),94.0,80.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,9.743444261879194
Communications,Bronze,Neutral,T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),Fidelity Select Wireless Portfolio (FWRLX),45.0,92.0,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,9.675864910184975
Communications,Neutral,Neutral,Fidelity Select Telecommunications Portfolio (FSTCX),Gabelli Media Mogul Fund (MOGLX),94.0,100.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,9.491793575033087
Communications,Neutral,Neutral,Gabelli Media Mogul Fund (MOGLX),Fidelity Select Wireless Portfolio (FWRLX),100.0,92.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,9.467353432037452
Communications,Silver,Bronze,Fidelity Select Communication Services Portfolio (FBMPX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),4.0,45.0,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,9.185490529015741
Communications,Neutral,Neutral,Rydex Telecommunications Fund Class A (RYTLX),Fidelity Select Wireless Portfolio (FWRLX),81.0,92.0,0.0165,0.8,15.57,17.54,0.83,28 years,04/01/1998,12.1,159.0,Y,N,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,8.753856862873931
Communications,Neutral,Neutral,Rydex Telecommunications Fund Class H (RYMAX),Fidelity Select Wireless Portfolio (FWRLX),82.0,92.0,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,8.734831687455141
Communications,Neutral,Neutral,Rydex Telecommunications Fund Class Investor (RYMIX),Fidelity Select Wireless Portfolio (FWRLX),80.0,92.0,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,8.254090595839003
Communications,Neutral,Neutral,Fidelity Select Telecommunications Portfolio (FSTCX),Fidelity Select Wireless Portfolio (FWRLX),94.0,92.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,8.092505274211067
Consumer Cyclical,Neutral,Negative,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Leisure Fund Class C (RYLCX),13.0,71.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,21.372504816117175
Consumer Cyclical,Neutral,Negative,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Retailing Fund Class C (RYRCX),13.0,88.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,21.103661588454006
Consumer Cyclical,Bronze,Negative,Fidelity Select Retailing Portfolio (FSRPX),Rydex Retailing Fund Class C (RYRCX),55.0,88.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,19.663714064946095
Consumer Cyclical,Neutral,Negative,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Leisure Fund Class A (RYLSX),13.0,67.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,19.266744617085617
Consumer Cyclical,Neutral,Negative,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Leisure Fund H Class (RYLAX),13.0,67.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,19.245651739937916
Consumer Cyclical,Neutral,Neutral,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Retailing Fund Class A (RYRTX),13.0,80.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,19.162906742343424
Consumer Cyclical,Neutral,Neutral,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Retailing Fund Class H (RYRAX),13.0,80.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,19.162111582145535
Consumer Cyclical,Neutral,Negative,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Leisure Fund Class Investor (RYLIX),13.0,66.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,18.65062911158635
Consumer Cyclical,Neutral,Neutral,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Retailing Fund Class Investor (RYRIX),13.0,79.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,18.434237161213073
Consumer Cyclical,Bronze,Neutral,Fidelity Select Retailing Portfolio (FSRPX),Rydex Retailing Fund Class H (RYRAX),55.0,80.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,17.75154724201814
Consumer Cyclical,Bronze,Neutral,Fidelity Select Retailing Portfolio (FSRPX),Rydex Retailing Fund Class A (RYRTX),55.0,80.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,17.722959218835513
Consumer Cyclical,Bronze,Neutral,Fidelity Select Retailing Portfolio (FSRPX),Rydex Retailing Fund Class Investor (RYRIX),55.0,79.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,17.023672821085675
Consumer Cyclical,Bronze,Negative,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Leisure Fund Class C (RYLCX),65.0,71.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,16.779246597908912
Consumer Cyclical,Negative,Bronze,U.S. Global Investors Global Luxury Goods Fund (USLUX),Fidelity Select Construction and Housing Portfolio (FSHOX),39.0,65.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,16.337103085535723
Consumer Cyclical,Negative,Neutral,U.S. Global Investors Global Luxury Goods Fund (USLUX),Fidelity Select Consumer Discretionary Portfolio (FSCPX),39.0,13.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,16.054179580062787
Consumer Cyclical,Bronze,Negative,Fidelity Select Retailing Portfolio (FSRPX),Rydex Leisure Fund Class C (RYLCX),55.0,71.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,15.913802970847193
Consumer Cyclical,Bronze,Negative,Fidelity Select Leisure Portfolio (FDLSX),Rydex Retailing Fund Class C (RYRCX),62.0,88.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,15.755511729376932
Consumer Cyclical,Bronze,Negative,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Retailing Fund Class C (RYRCX),65.0,88.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,15.722105584866524
Consumer Cyclical,Bronze,Negative,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Leisure Fund Class A (RYLSX),65.0,67.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,15.619443741332422
Consumer Cyclical,Bronze,Negative,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Leisure Fund H Class (RYLAX),65.0,67.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,15.598350864184724
Consumer Cyclical,Bronze,Negative,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Leisure Fund Class Investor (RYLIX),65.0,66.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,15.160987792909001
Consumer Cyclical,Neutral,Negative,Fidelity Select Automotive Portfolio (FSAVX),Rydex Retailing Fund Class C (RYRCX),46.0,88.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,14.468955425058702
Consumer Cyclical,Bronze,Neutral,Fidelity Select Leisure Portfolio (FDLSX),Rydex Retailing Fund Class H (RYRAX),62.0,80.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,13.843344906448982
Consumer Cyclical,Bronze,Negative,Fidelity Select Retailing Portfolio (FSRPX),Rydex Leisure Fund Class A (RYLSX),55.0,67.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,13.822734363505896
Consumer Cyclical,Bronze,Neutral,Fidelity Select Leisure Portfolio (FDLSX),Rydex Retailing Fund Class A (RYRTX),62.0,80.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,13.81475688326635
Consumer Cyclical,Bronze,Negative,Fidelity Select Retailing Portfolio (FSRPX),Rydex Leisure Fund H Class (RYLAX),55.0,67.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,13.801641486358198
Consumer Cyclical,Bronze,Neutral,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Retailing Fund Class A (RYRTX),65.0,80.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,13.781350738755943
Consumer Cyclical,Bronze,Neutral,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Retailing Fund Class H (RYRAX),65.0,80.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,13.780555578558058
Consumer Cyclical,Bronze,Negative,Fidelity Select Retailing Portfolio (FSRPX),Rydex Leisure Fund Class Investor (RYLIX),55.0,66.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,13.221310449696887
Consumer Cyclical,Bronze,Neutral,Fidelity Select Leisure Portfolio (FDLSX),Rydex Retailing Fund Class Investor (RYRIX),62.0,79.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,13.115470485516516
Consumer Cyclical,Bronze,Neutral,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Retailing Fund Class Investor (RYRIX),65.0,79.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,13.052681157625592
Consumer Cyclical,Bronze,Neutral,Fidelity Select Retailing Portfolio (FSRPX),Fidelity Select Consumer Discretionary Portfolio (FSCPX),55.0,13.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,13.04832571587722
Consumer Cyclical,Negative,Bronze,U.S. Global Investors Global Luxury Goods Fund (USLUX),Fidelity Select Retailing Portfolio (FSRPX),39.0,55.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,12.55592383895031
Consumer Cyclical,Neutral,Neutral,Fidelity Select Automotive Portfolio (FSAVX),Rydex Retailing Fund Class A (RYRTX),46.0,80.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,12.52820057894812
Consumer Cyclical,Neutral,Neutral,Fidelity Select Automotive Portfolio (FSAVX),Rydex Retailing Fund Class H (RYRAX),46.0,80.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,12.527405418750234
Consumer Cyclical,Neutral,Negative,Fidelity Select Automotive Portfolio (FSAVX),Rydex Leisure Fund Class C (RYLCX),46.0,71.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,12.496726925481056
Consumer Cyclical,Bronze,Neutral,Fidelity Select Leisure Portfolio (FDLSX),Fidelity Select Consumer Discretionary Portfolio (FSCPX),62.0,13.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,12.250861062667495
Consumer Cyclical,Bronze,Negative,Fidelity Select Leisure Portfolio (FDLSX),Rydex Leisure Fund Class C (RYLCX),62.0,71.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,12.039837064060402
Consumer Cyclical,Neutral,Neutral,Fidelity Select Automotive Portfolio (FSAVX),Rydex Retailing Fund Class Investor (RYRIX),46.0,79.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,11.799530997817769
Consumer Cyclical,Bronze,Bronze,Fidelity Select Retailing Portfolio (FSRPX),Fidelity Select Construction and Housing Portfolio (FSHOX),55.0,65.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,11.478024061716335
Consumer Cyclical,Neutral,Neutral,Fidelity Select Automotive Portfolio (FSAVX),Fidelity Select Consumer Discretionary Portfolio (FSCPX),46.0,13.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,10.648320939537813
Consumer Cyclical,Bronze,Negative,Fidelity Select Leisure Portfolio (FDLSX),U.S. Global Investors Global Luxury Goods Fund (USLUX),62.0,39.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,10.455635196796404
Consumer Cyclical,Neutral,Negative,Fidelity Select Automotive Portfolio (FSAVX),Rydex Leisure Fund Class A (RYLSX),46.0,67.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,10.390966726449498
Consumer Cyclical,Neutral,Negative,Fidelity Select Automotive Portfolio (FSAVX),Rydex Leisure Fund H Class (RYLAX),46.0,67.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,10.3698738493018
Consumer Cyclical,Bronze,Negative,Fidelity Select Leisure Portfolio (FDLSX),Rydex Leisure Fund Class A (RYLSX),62.0,67.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,9.934076865028844
Consumer Cyclical,Bronze,Negative,Fidelity Select Leisure Portfolio (FDLSX),Rydex Leisure Fund H Class (RYLAX),62.0,67.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,9.912983987881148
Consumer Cyclical,Neutral,Negative,Fidelity Select Automotive Portfolio (FSAVX),Rydex Leisure Fund Class Investor (RYLIX),46.0,66.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,9.774851220950232
