Morningstar Category,Name_1,Name_2,3-year Rank_1,3-year Rank_2,Expense Ratio - Net_1,3 Year Sharpe Ratio_1,Standard Deviation_1,3 Yr_1,Beta_1,Manager Tenure_1,Inception Date_1,Assets (Millions)_1,Turnover Rates_1,Load (Y/N)_1,NTF_1,Expense Ratio - Net_2,3 Year Sharpe Ratio_2,Standard Deviation_2,3 Yr_2,Beta_2,Manager Tenure_2,Inception Date_2,Assets (Millions)_2,Turnover Rates_2,Load (Y/N)_2,NTF_2,interestingness
Communications,Rydex Telecommunications Fund Class A (RYTLX),Fidelity Select Wireless Portfolio (FWRLX),81.0,92.0,0.0165,0.8,15.57,17.54,0.83,28 years,04/01/1998,12.1,159.0,Y,N,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,8.753856862873931
Communications,Rydex Telecommunications Fund Class H (RYMAX),Fidelity Select Wireless Portfolio (FWRLX),82.0,92.0,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,8.734831687455141
Communications,Rydex Telecommunications Fund Class Investor (RYMIX),Fidelity Select Wireless Portfolio (FWRLX),80.0,92.0,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,8.254090595839003
Communications,Fidelity Select Telecommunications Portfolio (FSTCX),Fidelity Select Wireless Portfolio (FWRLX),94.0,92.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,8.092505274211067
Consumer Cyclical,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Leisure Fund Class C (RYLCX),13.0,71.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,21.372504816117175
Consumer Cyclical,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Retailing Fund Class C (RYRCX),13.0,88.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,21.103661588454006
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Rydex Retailing Fund Class C (RYRCX),55.0,88.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,19.663714064946095
Consumer Cyclical,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Leisure Fund Class A (RYLSX),13.0,67.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,19.266744617085617
Consumer Cyclical,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Leisure Fund H Class (RYLAX),13.0,67.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,19.245651739937916
Consumer Cyclical,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Retailing Fund Class A (RYRTX),13.0,80.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,19.162906742343424
Consumer Cyclical,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Retailing Fund Class H (RYRAX),13.0,80.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,19.162111582145535
Consumer Cyclical,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Leisure Fund Class Investor (RYLIX),13.0,66.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,18.65062911158635
Consumer Cyclical,Fidelity Select Consumer Discretionary Portfolio (FSCPX),Rydex Retailing Fund Class Investor (RYRIX),13.0,79.0,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,18.434237161213073
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Rydex Retailing Fund Class H (RYRAX),55.0,80.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,17.75154724201814
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Rydex Retailing Fund Class A (RYRTX),55.0,80.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,17.722959218835513
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Rydex Retailing Fund Class Investor (RYRIX),55.0,79.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,17.023672821085675
Consumer Cyclical,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Leisure Fund Class C (RYLCX),65.0,71.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,16.779246597908912
Consumer Cyclical,U.S. Global Investors Global Luxury Goods Fund (USLUX),Fidelity Select Construction and Housing Portfolio (FSHOX),39.0,65.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,16.337103085535723
Consumer Cyclical,U.S. Global Investors Global Luxury Goods Fund (USLUX),Fidelity Select Consumer Discretionary Portfolio (FSCPX),39.0,13.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,16.054179580062787
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Rydex Leisure Fund Class C (RYLCX),55.0,71.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,15.913802970847193
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Rydex Retailing Fund Class C (RYRCX),62.0,88.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,15.755511729376932
Consumer Cyclical,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Retailing Fund Class C (RYRCX),65.0,88.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,15.722105584866524
Consumer Cyclical,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Leisure Fund Class A (RYLSX),65.0,67.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,15.619443741332422
Consumer Cyclical,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Leisure Fund H Class (RYLAX),65.0,67.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,15.598350864184724
Consumer Cyclical,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Leisure Fund Class Investor (RYLIX),65.0,66.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,15.160987792909001
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Rydex Retailing Fund Class C (RYRCX),46.0,88.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0239,0.45,17.96,13.05,1.3,28 years,04/01/1998,6.91,296.0,Y,N,14.468955425058702
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Rydex Retailing Fund Class H (RYRAX),62.0,80.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,13.843344906448982
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Rydex Leisure Fund Class A (RYLSX),55.0,67.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,13.822734363505896
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Rydex Retailing Fund Class A (RYRTX),62.0,80.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,13.81475688326635
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Rydex Leisure Fund H Class (RYLAX),55.0,67.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,13.801641486358198
Consumer Cyclical,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Retailing Fund Class A (RYRTX),65.0,80.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,13.781350738755943
Consumer Cyclical,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Retailing Fund Class H (RYRAX),65.0,80.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,13.780555578558058
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Rydex Leisure Fund Class Investor (RYLIX),55.0,66.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,13.221310449696887
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Rydex Retailing Fund Class Investor (RYRIX),62.0,79.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,13.115470485516516
Consumer Cyclical,Fidelity Select Construction and Housing Portfolio (FSHOX),Rydex Retailing Fund Class Investor (RYRIX),65.0,79.0,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,13.052681157625592
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Fidelity Select Consumer Discretionary Portfolio (FSCPX),55.0,13.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,13.04832571587722
Consumer Cyclical,U.S. Global Investors Global Luxury Goods Fund (USLUX),Fidelity Select Retailing Portfolio (FSRPX),39.0,55.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,12.55592383895031
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Rydex Retailing Fund Class A (RYRTX),46.0,80.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,12.52820057894812
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Rydex Retailing Fund Class H (RYRAX),46.0,80.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,12.527405418750234
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Rydex Leisure Fund Class C (RYLCX),46.0,71.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,12.496726925481056
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Fidelity Select Consumer Discretionary Portfolio (FSCPX),62.0,13.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,12.250861062667495
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Rydex Leisure Fund Class C (RYLCX),62.0,71.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0239,0.59,16.75,14.99,1.12,28 years,04/01/1998,5.97,263.0,Y,N,12.039837064060402
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Rydex Retailing Fund Class Investor (RYRIX),46.0,79.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,11.799530997817769
Consumer Cyclical,Fidelity Select Retailing Portfolio (FSRPX),Fidelity Select Construction and Housing Portfolio (FSHOX),55.0,65.0,0.0064,0.76,16.16,17.28,1.17,1 year,12/16/1985,2491.25,77.0,N,Y,0.0069,0.54,21.0,16.35,1.41,4 years,09/29/1986,681.35,13.0,N,Y,11.478024061716335
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Fidelity Select Consumer Discretionary Portfolio (FSCPX),46.0,13.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0069999999999999,0.92,20.13,23.55,1.46,4 years,06/29/1990,1018.11,19.0,N,Y,10.648320939537813
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),U.S. Global Investors Global Luxury Goods Fund (USLUX),62.0,39.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,10.455635196796404
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Rydex Leisure Fund Class A (RYLSX),46.0,67.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,10.390966726449498
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Rydex Leisure Fund H Class (RYLAX),46.0,67.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,10.3698738493018
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Rydex Leisure Fund Class A (RYLSX),62.0,67.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0163999999999999,0.65,16.76,15.85,1.12,28 years,04/01/1998,5.97,263.0,Y,N,9.934076865028844
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Rydex Leisure Fund H Class (RYLAX),62.0,67.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0163,0.65,16.76,15.86,1.12,28 years,04/01/1998,5.97,263.0,N,N,9.912983987881148
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),Rydex Leisure Fund Class Investor (RYLIX),46.0,66.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,9.774851220950232
Consumer Cyclical,Fidelity Select Automotive Portfolio (FSAVX),U.S. Global Investors Global Luxury Goods Fund (USLUX),46.0,39.0,0.0078,0.66,19.38,17.89,1.17,2 years,06/30/1986,73.27,115.0,N,Y,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,9.733808028928774
Consumer Cyclical,Fidelity Select Leisure Portfolio (FDLSX),Rydex Leisure Fund Class Investor (RYLIX),62.0,66.0,0.0069,0.65,17.36,16.38,1.11,1 year,05/08/1984,591.73,44.0,N,Y,0.0139999999999999,0.66,16.77,16.15,1.12,28 years,04/01/1998,5.97,263.0,N,Y,9.475620916605424
Consumer Cyclical,U.S. Global Investors Global Luxury Goods Fund (USLUX),Rydex Retailing Fund Class Investor (RYRIX),39.0,79.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0138,0.51,17.98,14.19,1.3,28 years,04/01/1998,6.91,296.0,N,Y,8.712403674433466
Consumer Cyclical,U.S. Global Investors Global Luxury Goods Fund (USLUX),Rydex Retailing Fund Class H (RYRAX),39.0,80.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0163999999999999,0.49,17.98,13.9,1.3,28 years,04/21/1998,6.91,296.0,N,N,8.54894277330074
Consumer Cyclical,U.S. Global Investors Global Luxury Goods Fund (USLUX),Rydex Retailing Fund Class A (RYRTX),39.0,80.0,0.0175,0.79,17.09,18.53,1.11,31 years,10/17/1994,53.99,195.0,N,Y,0.0163999999999999,0.49,17.96,13.91,1.3,28 years,04/01/1998,6.91,296.0,Y,N,8.52035475011811
